Repository,#queries,#queries with image,MRR_Text,MRR_Img,MRR_Diff,MRR_RI,Recall@1_Text,Recall@1_Img,Recall@1_Diff,Recall@5_Text,Recall@5_Img,Recall@5_Diff,Recall@10_Text,Recall@10_Img,Recall@10_Diff
Aegis,3,3,0.0680,0.0680,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Anki-Android,19,19,0.1103,0.1103,0.0000,0.00%,0.0526,0.0526,0.0000,0.1491,0.1491,0.0000,0.1667,0.1667,0.0000
AntennaPod,6,6,0.1548,0.1548,0.0000,0.00%,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.5000,0.5000,0.0000
KISS,3,3,0.3752,0.3752,0.0000,0.00%,0.3333,0.3333,0.0000,0.3333,0.3333,0.0000,0.3333,0.3333,0.0000
MaterialFiles,5,5,0.3518,0.3518,0.0000,0.00%,0.1000,0.1000,0.0000,0.4667,0.4667,0.0000,0.6333,0.6333,0.0000
RetroMusicPlayer,1,1,0.0417,0.0417,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Slide,6,6,0.0959,0.0959,0.0000,0.00%,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.4167,0.4167,0.0000
StreetComplete,13,13,0.0996,0.0996,0.0000,0.00%,0.0769,0.0769,0.0000,0.0769,0.0769,0.0000,0.1538,0.1538,0.0000
UserLAnd,3,3,0.6759,0.6759,0.0000,0.00%,0.6667,0.6667,0.0000,0.6667,0.6667,0.0000,0.6667,0.6667,0.0000
VinylMusicPlayer,1,1,1.0000,1.0000,0.0000,0.00%,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
android,1,1,0.5000,0.5000,0.0000,0.00%,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
apps-android-commons,9,9,0.1332,0.1332,0.0000,0.00%,0.1111,0.1111,0.0000,0.1111,0.1111,0.0000,0.1111,0.1111,0.0000
cgeo,7,7,0.3305,0.3305,0.0000,0.00%,0.2143,0.2143,0.0000,0.2857,0.2857,0.0000,0.5714,0.5714,0.0000
collect,4,4,0.1561,0.1561,0.0000,0.00%,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.2500,0.2500,0.0000
florisboard,7,7,0.1705,0.1705,0.0000,0.00%,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.2857,0.2857,0.0000
focus-android,7,7,0.2218,0.2218,0.0000,0.00%,0.0714,0.0714,0.0000,0.2143,0.2143,0.0000,0.3571,0.3571,0.0000
kiwix-android,10,10,0.1371,0.1371,0.0000,0.00%,0.1000,0.1000,0.0000,0.1000,0.1000,0.0000,0.1500,0.1500,0.0000
mobile-wallet,2,2,0.0223,0.0223,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
openfoodfacts-androidapp,4,4,0.0530,0.0530,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000
phimpme-android,2,2,0.0265,0.0265,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qksms,1,1,0.1250,0.1250,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
simplenote-android,1,1,0.1429,0.1429,0.0000,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
thunderbird-android,10,10,0.0935,0.0935,0.0000,0.00%,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.4000,0.4000,0.0000
